pair,pos1,pos2,sub1,sub2,count,freq,guide_id,n_total,n_hits,tail_utility_sum,raw_hit_rate,smoothed_hit_probability,smoothed_tail_potential,exploit_weight,tail_weight,uniform_weight,search_weight,target_threshold,global_hit_rate,global_tail_mean
R3-R4,R3,R4,*c1ccc(N(C)C)cc1,*C1CC1,503,0.0401020489516064,R3-R4-001,769,0,2.0869995331360385,0.0,1.6848700021701127e-05,0.0021860478266588824,0.002049868545434527,0.026663956581627058,0.02127659574468085,0.01327944039614155,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CC(C)(C)C,421,0.0335645379893167,R3-R4-002,803,0,0.9738993169726541,0.0,1.627755764808414e-05,0.0010021736070479292,0.0020032780881508003,0.01585307306913427,0.02127659574468085,0.01001288011375185,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CCCCC,402,0.0320497488639081,R3-R4-003,739,0,1.4390522785892765,0.0,1.738699714699509e-05,0.0015658499355545212,0.002093299973315991,0.021346085590391153,0.02127659574468085,0.011705794812711511,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CCCCC,391,0.03117276568604,R3-R4-004,928,0,1.526322317666534,0.0,1.4473750284599638e-05,0.0013808538373785042,0.001852404367680393,0.019629834048551443,0.02127659574468085,0.011070471547341799,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CC(C)(C)C,372,0.0296579765606314,R3-R4-005,969,0,0.8487465019457634,0.0,1.3966116613369026e-05,0.0007528035182567855,0.0018088345940169923,0.013100038761856895,0.02127659574468085,0.009089748074501735,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*C(CC)CC,312,0.0248744319540779,R3-R4-006,803,0,0.8297954193253928,0.0,1.627755764808414e-05,0.0008585007280376985,0.0020032780881508003,0.014299206318032342,0.02127659574468085,0.009546720088421272,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*C(CC)CC,295,0.0235190943155544,R3-R4-007,969,0,0.8291177585636963,0.0,1.3966116613369026e-05,0.0007360124631823054,0.0018088345940169923,0.012904512409828038,0.02127659574468085,0.009031090168893079,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CCCCC,277,0.0220840309335884,R3-R4-008,430,0,0.5310830760490177,0.0,2.5914905271473638e-05,0.0008926410903895819,0.0027313760466118205,0.014675832183381149,0.02127659574468085,0.010023756827256425,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*C(CC)CC,277,0.0220840309335884,R3-R4-009,478,0,0.4136733935958911,0.0,2.4080221712431254e-05,0.0006562746378942625,0.002600890490884419,0.011954788614809387,0.02127659574468085,0.009142200978821196,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CC(C)(C)C,275,0.0219245794467033,R3-R4-010,478,0,0.3871099661677977,0.0,2.4080221712431254e-05,0.0006170955413926497,0.002600890490884419,0.01147412983132199,0.02127659574468085,0.008998003343774976,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CCCC,272,0.0216854022163756,R3-R4-011,877,0,0.49087183533241807,0.0,1.5159136788327196e-05,0.000484821398541167,0.001910431163697672,0.009769507574887239,0.02127659574468085,0.008141387003251177,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*C(CC)CC,249,0.0198517101171968,R3-R4-012,355,0,0.7952532920540805,0.0,2.941691949734845e-05,0.0014892506359468457,0.0029722126209882904,0.020644134667681318,0.02127659574468085,0.011934665859734711,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CC(C)(C)C,248,0.0197719843737542,R3-R4-013,355,0,0.689507403347547,0.0,2.941691949734845e-05,0.0012987175031422809,0.0029722126209882904,0.018843487463548136,0.02127659574468085,0.011394471698494757,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CCCCC,247,0.0196922586303117,R3-R4-014,312,0,1.086968425902013,0.0,3.1887481095758576e-05,0.002184080540621937,0.0031363791308052905,0.026647957084056463,0.02127659574468085,0.013817895839555755,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CCCC,245,0.0195328071434266,R3-R4-015,461,0,0.42974846990371984,0.0,2.4699531499286523e-05,0.0006974724369139768,0.002645295682468561,0.012450004842575677,0.02127659574468085,0.009312968442943154,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*C(C)(C)C,241,0.0192139041696563,R3-R4-016,523,0,0.31255941016877004,0.0,2.2581452726180346e-05,0.0004755743029947287,0.0024918180718982814,0.009644885450066568,0.02127659574468085,0.00839469381990528,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CC(C)C,240,0.0191341784262138,R3-R4-017,918,0,0.28130649291194615,0.0,1.4603211378379598e-05,0.0002795950839073032,0.001863433907354079,0.006768688187270923,0.02127659574468085,0.007217642558794486,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1c(OC)cc(OC)cc1OC,*C1CC1,238,0.0189747269393287,R3-R4-018,784,0,0.2023977156656173,0.0,1.6591860082345924e-05,0.0002374781774004432,0.002028983259394686,0.006070632724773901,0.02127659574468085,0.007091000596065683,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CCCC,237,0.0188950011958861,R3-R4-019,1021,0,0.48261825958381727,0.0,1.3371327044249297e-05,0.000420883759607073,0.0017571065059459607,0.008890501633507384,0.02127659574468085,0.007801022891961365,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CC(C)C,234,0.0186558239655584,R3-R4-020,523,0,0.2907845956166278,0.0,2.2581452726180346e-05,0.0004454569937939787,0.0024918180718982814,0.009233265884898274,0.02127659574468085,0.008271207950354794,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*C(C)(C)C,227,0.0180977437614605,R3-R4-021,918,0,0.3234617665801896,0.0,1.4603211378379598e-05,0.00031730105319911306,0.001863433907354079,0.0073643173689449904,0.02127659574468085,0.007396331313296707,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CCCC,207,0.0165032288926094,R3-R4-022,594,0,0.19240763580384557,0.0,2.0562204434544574e-05,0.0002817234845091491,0.0023409646796555836,0.006802995570414159,0.02127659574468085,0.00746670015988821,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CCC,185,0.0147492625368731,R3-R4-023,628,0,0.17525935515598168,0.0,1.971786270655603e-05,0.00024944464499082185,0.0022764335183538026,0.006272889115263988,0.02127659574468085,0.007275402642692268,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CCCCCCCCCC,183,0.014589811049988,R3-R4-024,183,27,32.62511358877074,0.14754098360655737,0.07053871120188258,0.08526473733594558,0.5324760676408663,0.30666517463103615,0.02127659574468085,0.3624929053586802,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*C(C)(C)C,173,0.0137925536155624,R3-R4-025,656,0,0.14431968464554742,0.0,1.907288588905186e-05,0.00020514076582005402,0.00222651702158867,0.005506210398605784,0.02127659574468085,0.007020440779312241,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CC(C)C,173,0.0137925536155624,R3-R4-026,656,0,0.13897823327192171,0.0,1.907288588905186e-05,0.0001989007525331081,0.00222651702158867,0.0053939771802437655,0.02127659574468085,0.006986770813803635,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CC(C)C,171,0.0136331021286773,R3-R4-027,1036,0,0.2570525268724093,0.0,1.3209053657789961e-05,0.00023327939948934316,0.0017428615235007012,0.005998864877919624,0.02127659574468085,0.0069264093740624075,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*C(C)(C)C,159,0.0126763932073666,R3-R4-028,1036,0,0.27517540461639617,0.0,1.3209053657789961e-05,0.00024794192193593444,0.0017428615235007012,0.006247670680990509,0.02127659574468085,0.007001051114983673,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CCC,159,0.0126763932073666,R3-R4-029,970,0,0.18782680959721726,0.0,1.3954179761562727e-05,0.00018727147050738127,0.0018078037721590483,0.005181624065524818,0.02127659574468085,0.00671370825467314,6.1,8.163195160514195e-05,0.0001564040544820941
