Molecule_ID,Source_Molecule_ID,SMILES,Molecule_class,Cacetal-q(N),Cacetal-q(N+1),Cacetal-s-,E_HOMO(N-1),VIP,Overall_Average,Pos_Average,Polar_Area,Split_Cacetal_q_N,Split_Cacetal_q_Nplus1,Split_Cacetal_s_minus,Split_E_HOMO_Nminus1,Split_VIP,Split_Overall_Average,Split_Pos_Average,Split_Polar_Area
DFT0001,acetal1500_000001,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1579,0.1401,0.0609,-0.269986,0.217914,0.00054025,0.01639061,48.09,train,train,train,train,train,train,train,train
DFT0002,acetal1500_000002,COc1ccc(C(C=Cc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1584,0.1418,0.0568,-0.23695,0.206871,-0.00071768,0.01324121,43.19,train,train,train,train,train,train,train,train
DFT0003,acetal1500_000003,CCOC(C=Cc1ccccc1)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2129,0.1971,0.0623,-0.280988,0.218743,-0.00031141,0.01448177,43.33,train,train,train,train,test,train,train,train
DFT0004,acetal1500_000004,CC(C)(C)COC(C=Cc1ccccc1)OCC(Cl)(Cl)Cl,acetal,0.1258,0.1057,0.0979,-0.277033,0.217208,0.00105018,0.01631179,47.82,train,train,train,train,train,train,train,train
DFT0005,acetal1500_000005,Cc1ccc(C(C=Cc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1576,0.1424,0.0559,-0.245639,0.217455,-0.00028897,0.01327654,42.21,train,train,train,train,train,train,train,train
DFT0006,acetal1500_000006,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1591,0.1428,0.0566,-0.253385,0.218208,0.00249682,0.01618254,47.24,test,validation,train,train,train,train,train,train
DFT0007,acetal1500_000007,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1602,0.1472,0.0538,-0.252391,0.216346,0.00147824,0.01424947,37.08,validation,train,train,train,train,test,test,train
DFT0008,acetal1500_000008,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1621,0.1548,0.0941,-0.273168,0.217444,0.0055587,0.01940612,52.88,validation,validation,train,train,validation,train,test,train
DFT0009,acetal1500_000009,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1586,0.1428,0.0624,-0.255963,0.215919,-0.00059308,0.01397502,45.92,validation,test,train,train,train,test,train,train
DFT0010,acetal1500_000010,CC(C)(C)COC(CBr)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1571,0.1519,0.134,-0.302957,0.260921,0.00211112,0.01644867,33.8,train,validation,test,train,train,validation,train,train
DFT0011,acetal1500_000011,COc1ccc(C(CBr)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.158,0.1535,0.0572,-0.271005,0.217699,-0.00052553,0.020184,43.5,test,validation,test,train,train,train,validation,train
DFT0012,acetal1500_000012,COC(CBr)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.212,0.2078,0.1366,-0.31425,0.272082,-0.00013162,0.01784262,44.28,train,train,validation,train,train,train,train,test
DFT0013,acetal1500_000013,CC(C)(C)COC(CBr)OCC(Cl)(Cl)Cl,acetal,0.1275,0.121,0.1577,-0.309317,0.265974,0.0035897,0.01812307,42.54,train,train,train,train,train,train,train,validation
DFT0014,acetal1500_000014,Cc1ccc(C(CBr)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1556,0.149,0.0488,-0.28332,0.234506,0.00010781,0.01597609,38,train,train,test,train,train,train,train,train
DFT0015,acetal1500_000015,CC(C)(C)COC(CBr)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1569,0.1475,0.049,-0.283272,0.243871,0.00253311,0.02102869,43.94,test,train,train,train,train,train,train,validation
DFT0016,acetal1500_000016,CC(C)(C)COC(CBr)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.159,0.1544,0.0577,-0.269719,0.218925,0.00170793,0.0162975,42.51,validation,train,validation,validation,train,validation,train,train
DFT0017,acetal1500_000017,CC(C)(C)COC(CBr)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1578,0.1504,0.1044,-0.288416,0.259914,0.00663099,0.02321474,53.68,train,test,train,train,train,train,train,validation
DFT0018,acetal1500_000018,CC(C)(C)COC(C)(CC(C)(C)C)OCC(Cl)(Cl)Cl,ketal,0.1605,0.1556,0.1472,-0.308964,0.260359,0.00228144,0.01071888,27.31,test,train,train,train,train,train,train,train
DFT0019,acetal1500_000019,COC(CC(C)(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2208,0.2157,0.1622,-0.302232,0.263503,0.0018089,0.01115547,26.85,train,train,train,train,train,validation,test,test
DFT0020,acetal1500_000020,CCOC(CC(C)(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2197,0.2153,0.1482,-0.304999,0.263448,0.0018478,0.01264569,35.43,train,train,train,train,train,test,train,train
DFT0021,acetal1500_000021,Cc1ccc(C(CC(C)(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1621,0.1575,0.0638,-0.279921,0.228894,0.00095207,0.01067471,27.96,train,train,train,train,train,train,train,train
DFT0022,acetal1500_000022,CC(C)(C)COC(CC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1651,0.1602,0.052,-0.285292,0.239531,0.00238843,0.01324021,31.11,train,train,train,train,train,train,train,train
DFT0023,acetal1500_000023,CC(C)(C)COC(CC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1623,0.1571,0.0586,-0.276186,0.21598,0.00159035,0.01561056,31.58,train,train,validation,train,train,train,train,train
DFT0024,acetal1500_000024,CC(C)(C)COC(CC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.168,0.1613,0.2104,-0.285731,0.252548,0.0072687,0.01930645,49.2,train,train,train,train,test,train,validation,train
DFT0025,acetal1500_000025,CC(C)(C)COC(CC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1652,0.1583,0.0627,-0.27341,0.240221,0.0002611,0.0140908,40.15,train,train,train,train,train,train,train,train
DFT0026,acetal1500_000026,COc1ccc(C(CC(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1604,0.155,0.0522,-0.272007,0.215023,9.801e-05,0.0145093,43.04,train,train,train,test,train,train,train,validation
DFT0027,acetal1500_000027,COC(CC(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2192,0.2142,0.1589,-0.304399,0.260758,0.00074066,0.01327426,39.59,train,train,train,train,train,train,train,test
DFT0028,acetal1500_000028,CCOC(CC(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2182,0.2135,0.1531,-0.304376,0.267777,0.00142276,0.01089595,26.93,test,test,train,train,train,train,train,train
DFT0029,acetal1500_000029,CC(C)CC(OCC(C)(C)C)OCC(Cl)(Cl)Cl,acetal,0.1292,0.1229,0.1952,-0.316035,0.255932,0.00220942,0.01611179,41.09,train,train,train,test,validation,train,test,train
DFT0030,acetal1500_000030,Cc1ccc(C(CC(C)C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.163,0.1571,0.0523,-0.275048,0.231669,0.00038106,0.01308747,39.9,train,train,validation,train,train,train,train,train
DFT0031,acetal1500_000031,CC(C)CC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1638,0.1583,0.0586,-0.276729,0.238347,0.00260787,0.01464264,42.86,train,train,train,validation,train,train,train,train
DFT0032,acetal1500_000032,CC(C)CC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1613,0.1558,0.0559,-0.277229,0.216407,0.00030485,0.01671335,43.4,train,train,validation,train,train,train,train,validation
DFT0033,acetal1500_000033,CC(C)CC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1667,0.1599,0.0708,-0.290558,0.259637,0.00654024,0.01758078,41.22,train,train,train,train,train,train,train,train
DFT0034,acetal1500_000034,COc1ccc(C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)(C)C)cc1,ketal,0.1654,0.1599,0.0433,-0.26851,0.21693,-0.00072157,0.01616768,44.72,train,train,train,test,train,train,train,train
DFT0035,acetal1500_000035,COC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)(C)C,orthoester,0.2232,0.2186,0.1571,-0.304906,0.257819,0.00201874,0.01313656,38.08,train,train,train,train,train,train,train,train
DFT0036,acetal1500_000036,CCOC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)(C)C,orthoester,0.2253,0.2203,0.1614,-0.304256,0.25818,0.00206321,0.01335145,34.33,train,train,train,train,train,train,validation,train
DFT0037,acetal1500_000037,CC(C)(C)COC(OCC(Cl)(Cl)Cl)C(C)(C)C,acetal,0.1309,0.1251,0.184,-0.316381,0.25705,0.00203886,0.0168986,41.52,train,train,train,train,validation,train,train,validation
DFT0038,acetal1500_000038,Cc1ccc(C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)(C)C)cc1,ketal,0.1651,0.1608,0.0439,-0.285074,0.231754,9.008e-05,0.01224358,30.7,train,validation,train,train,train,train,train,validation
DFT0039,acetal1500_000039,CC(C)(C)COC(OCC(Cl)(Cl)Cl)(c1ccc(Cl)cc1)C(C)(C)C,ketal,0.1691,0.1639,0.0544,-0.271296,0.238577,0.00231835,0.01657477,46.22,train,train,train,train,train,train,train,train
DFT0040,acetal1500_000040,CC(C)(C)COC(OCC(Cl)(Cl)Cl)(c1ccc([N+](=O)[O-])cc1)C(C)(C)C,ketal,0.1688,0.1629,0.1203,-0.286011,0.256463,0.00675824,0.01909718,55.55,validation,train,train,train,train,test,validation,validation
DFT0041,acetal1500_000041,CC(C)(C)COC(OCC(Cl)(Cl)Cl)(c1ccccc1)C(C)(C)C,ketal,0.1655,0.1595,0.0394,-0.273554,0.241728,0.00064664,0.01396614,42.89,train,train,train,test,validation,validation,train,train
DFT0042,acetal1500_000042,CC(C)C(C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,ketal,0.1608,0.1564,0.1829,-0.30167,0.257411,0.00064897,0.01496551,39.2,train,train,test,train,train,train,train,train
DFT0043,acetal1500_000043,COc1ccc(C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)C)cc1,ketal,0.1616,0.157,0.0517,-0.277823,0.213377,0.00088043,0.01636807,43.93,train,train,train,train,test,validation,train,validation
DFT0044,acetal1500_000044,COC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)C,orthoester,0.2184,0.2145,0.1379,-0.303641,0.265315,0.00187554,0.01527563,46.49,train,train,validation,train,train,train,test,train
DFT0045,acetal1500_000045,CCOC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)C,orthoester,0.2206,0.2156,0.1516,-0.299622,0.260823,0.00042929,0.0152457,34.23,test,test,train,train,test,train,validation,train
DFT0046,acetal1500_000046,CC(C)C(OCC(C)(C)C)OCC(Cl)(Cl)Cl,acetal,0.13,0.1238,0.1881,-0.316464,0.258226,0.00194392,0.01724455,43.47,train,train,train,train,train,train,validation,train
DFT0047,acetal1500_000047,Cc1ccc(C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(C)C)cc1,ketal,0.1598,0.155,0.0598,-0.273388,0.229533,2.166e-05,0.01355742,37.74,validation,test,validation,train,train,train,train,train
DFT0048,acetal1500_000048,CC(C)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1621,0.1562,0.0505,-0.277279,0.238267,0.00242137,0.01545912,47.24,train,train,train,train,train,train,train,train
DFT0049,acetal1500_000049,CC(C)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1596,0.1551,0.0537,-0.278259,0.216333,0.00120901,0.013361,29.93,train,validation,train,train,train,train,train,test
DFT0050,acetal1500_000050,CC(C)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1679,0.1605,0.2384,-0.282247,0.246875,0.00624236,0.01758366,41.35,train,train,train,train,train,train,validation,train
DFT0051,acetal1500_000051,CC(C)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1657,0.1605,0.0797,-0.273616,0.240118,0.00112032,0.0124865,35.92,test,train,train,train,train,test,train,train
DFT0052,acetal1500_000052,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(OC)cc1,ketal,0.1617,0.1565,0.0472,-0.274142,0.214198,0.00052822,0.01413116,42.56,train,test,train,train,train,train,train,train
DFT0053,acetal1500_000053,CCC(CC)C(OC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2215,0.2168,0.1434,-0.312197,0.259315,0.00195758,0.0107605,23.58,train,train,train,train,train,validation,train,train
DFT0054,acetal1500_000054,CCOC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C(CC)CC,orthoester,0.2217,0.2169,0.156,-0.299819,0.258724,0.00067814,0.01329525,31.24,train,train,train,test,train,train,train,train
DFT0055,acetal1500_000055,CCC(CC)C(OCC(C)(C)C)OCC(Cl)(Cl)Cl,acetal,0.1308,0.1251,0.2402,-0.313381,0.252219,0.00221392,0.01497088,40.63,train,train,train,train,validation,train,validation,train
DFT0056,acetal1500_000056,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(C)cc1,ketal,0.1628,0.1581,0.0437,-0.283015,0.230516,-2.71E-06,0.01144993,29.95,train,train,train,test,train,train,train,validation
DFT0057,acetal1500_000057,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1632,0.1584,0.0668,-0.283256,0.239098,0.00356372,0.01429209,35.28,train,train,train,train,train,train,train,train
DFT0058,acetal1500_000058,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1622,0.1566,0.0468,-0.277891,0.23816,0.00261932,0.01422638,42.68,train,train,train,train,train,validation,train,train
DFT0059,acetal1500_000059,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.163,0.1582,0.0479,-0.271108,0.217351,-2.48E-05,0.01737694,44.56,train,train,test,train,train,test,train,train
DFT0060,acetal1500_000060,CCC(CC)C(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1636,0.1575,0.0485,-0.288833,0.260436,0.00710191,0.01650585,46.04,train,train,train,test,train,train,train,train
DFT0061,acetal1500_000061,COCCCC(C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,ketal,0.1609,0.1559,0.1155,-0.266295,0.246245,0.00179439,0.01489991,43.89,train,train,validation,validation,train,train,train,train
DFT0062,acetal1500_000062,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(OC)cc1,ketal,0.1604,0.1549,0.0541,-0.254781,0.215043,-0.00019564,0.01445108,46.18,train,train,train,train,train,train,validation,train
DFT0063,acetal1500_000063,COCCCC(OC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.219,0.2142,0.0133,-0.276244,0.251444,0.00105436,0.01498119,41.99,train,train,train,validation,validation,train,train,train
DFT0064,acetal1500_000064,CCOC(CCCOC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2172,0.2122,0.045,-0.27813,0.248658,0.00152536,0.01285808,39.6,train,train,train,train,train,train,train,train
DFT0065,acetal1500_000065,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(C)cc1,ketal,0.1616,0.156,0.0543,-0.256001,0.230593,-0.00077737,0.01444689,48.51,train,train,train,train,train,train,validation,validation
DFT0066,acetal1500_000066,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1617,0.1538,0.0524,-0.255829,0.242315,0.00227813,0.01662981,46.71,validation,train,train,train,train,train,train,test
DFT0067,acetal1500_000067,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1625,0.157,0.0546,-0.256538,0.21702,-0.00013187,0.01671693,48.23,train,train,validation,train,train,test,train,train
DFT0068,acetal1500_000068,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1641,0.1567,0.0194,-0.272737,0.247637,0.00595121,0.02162776,48.87,train,validation,test,train,validation,test,train,train
DFT0069,acetal1500_000069,COCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1598,0.1533,0.0516,-0.256349,0.240611,-0.0015242,0.01691537,48.43,train,train,train,train,train,train,train,train
DFT0070,acetal1500_000070,CSCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1604,0.1554,0.0276,-0.268337,0.221396,0.00299779,0.01590866,44.66,train,train,train,validation,train,train,train,train
DFT0071,acetal1500_000071,COc1ccc(C(CCCSC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.159,0.1541,0.0453,-0.22817,0.211673,0.00061519,0.0141949,45.82,train,train,train,train,train,train,test,train
DFT0072,acetal1500_000072,COC(CCCSC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2185,0.2132,0.0216,-0.275641,0.221983,0.00022105,0.01907759,48.28,train,train,train,train,train,train,test,train
DFT0073,acetal1500_000073,CCOC(CCCSC)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2154,0.2104,0.0229,-0.276026,0.222188,0.00230453,0.01654654,47.29,train,test,train,test,test,test,validation,train
DFT0074,acetal1500_000074,CSCCCC(OCC(C)(C)C)OCC(Cl)(Cl)Cl,acetal,0.1318,0.1252,0.0299,-0.275019,0.221521,0.00231764,0.01916194,47.37,train,validation,train,train,train,train,train,train
DFT0075,acetal1500_000075,CSCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(C)cc1,ketal,0.1611,0.1563,0.027,-0.238198,0.220058,-0.00020094,0.01583183,50.66,train,validation,train,train,train,validation,train,train
DFT0076,acetal1500_000076,CSCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1619,0.1574,0.0154,-0.250027,0.220633,0.00249488,0.01500715,47.1,train,test,validation,train,train,train,train,train
DFT0077,acetal1500_000077,CSCCCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1645,0.1576,0.0307,-0.270962,0.221857,0.00750706,0.0205812,56.13,train,test,train,validation,train,train,train,validation
DFT0078,acetal1500_000078,CC(C)(C)COC(C)(CCc1ccccc1)OCC(Cl)(Cl)Cl,ketal,0.1591,0.1542,0.0481,-0.264063,0.229773,0.00202461,0.01687343,49.1,test,test,train,validation,test,train,train,train
DFT0079,acetal1500_000079,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1595,0.1548,0.0409,-0.270497,0.229726,0.00109335,0.01486129,40.71,train,train,train,validation,validation,test,train,train
DFT0080,acetal1500_000080,COc1ccc(C(CCc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1615,0.1567,0.0529,-0.241767,0.213386,0.0003825,0.01587362,42.03,train,validation,train,test,train,validation,train,train
DFT0081,acetal1500_000081,COC(CCc1ccccc1)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2172,0.2122,0.0374,-0.272266,0.230727,0.00085315,0.01715376,50.1,test,test,train,test,validation,train,train,validation
DFT0082,acetal1500_000082,CCOC(CCc1ccccc1)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2193,0.2138,0.0343,-0.275627,0.2308,0.00116957,0.01497638,42.94,validation,test,train,test,train,train,validation,train
DFT0083,acetal1500_000083,CC(C)(C)COC(CCc1ccccc1)OCC(Cl)(Cl)Cl,acetal,0.1313,0.1249,0.0557,-0.269041,0.229316,0.00167212,0.01746412,46.29,train,train,train,train,validation,train,test,train
DFT0084,acetal1500_000084,Cc1ccc(C(CCc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1611,0.155,0.048,-0.243025,0.229366,0.00019739,0.01387399,43.84,train,train,train,train,train,train,train,test
DFT0085,acetal1500_000085,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1621,0.1573,0.0379,-0.248152,0.230461,0.00347102,0.01920798,50.11,test,test,train,train,validation,train,train,train
DFT0086,acetal1500_000086,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1619,0.157,0.0377,-0.248164,0.230596,0.00210917,0.01420587,36.38,test,train,train,train,train,train,train,test
DFT0087,acetal1500_000087,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1599,0.1544,0.0525,-0.240554,0.218607,0.00055454,0.01735313,44.5,train,train,train,test,train,train,train,train
DFT0088,acetal1500_000088,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1627,0.1552,0.0543,-0.265836,0.231147,0.00683492,0.02087188,49.85,train,train,train,test,test,train,train,train
DFT0089,acetal1500_000089,CC(C)(C)COC(CCc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1608,0.1555,0.049,-0.252575,0.23011,0.00025616,0.01507893,42.5,train,train,validation,train,train,train,train,train
DFT0090,acetal1500_000090,COc1ccc(C(CCl)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1579,0.1534,0.0579,-0.27881,0.217937,-0.00059188,0.02098176,47.16,train,train,train,train,train,validation,train,train
DFT0091,acetal1500_000091,COC(CCl)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2121,0.2075,0.1282,-0.314531,0.273505,0.00028683,0.020012,51.98,train,validation,validation,validation,train,train,train,train
DFT0092,acetal1500_000092,CCOC(CCl)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2144,0.2105,0.1292,-0.310328,0.278377,0.00192233,0.01442119,40.66,train,test,test,train,test,train,train,train
DFT0093,acetal1500_000093,CC(C)(C)COC(CCl)OCC(Cl)(Cl)Cl,acetal,0.1306,0.1243,0.2048,-0.313744,0.265212,0.00246046,0.02360819,59.68,train,train,test,test,train,train,train,train
DFT0094,acetal1500_000094,Cc1ccc(C(CCl)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.16,0.1536,0.0554,-0.280825,0.233575,0.00128633,0.01509799,45.62,train,train,validation,train,train,train,train,validation
DFT0095,acetal1500_000095,CC(C)(C)COC(CCl)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1567,0.1523,0.046,-0.293958,0.244435,0.00407833,0.01837161,48.96,train,train,train,train,train,train,train,test
DFT0096,acetal1500_000096,CC(C)(C)COC(CCl)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1578,0.15,0.1007,-0.29013,0.259966,0.00680949,0.0241775,54.13,train,train,train,validation,train,train,train,train
DFT0097,acetal1500_000097,CC(C)(C)COC(CCl)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1553,0.1497,0.0509,-0.282925,0.242878,0.0008588,0.019453,52.95,train,train,train,train,validation,train,train,validation
DFT0098,acetal1500_000098,CC(C)(C)COC(C)(CO)OCC(Cl)(Cl)Cl,ketal,0.1532,0.1481,0.1613,-0.296922,0.251968,-0.00026483,0.01730045,46.96,validation,train,train,train,test,validation,test,train
DFT0099,acetal1500_000099,COc1ccc(C(CO)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.152,0.147,0.0585,-0.268725,0.216346,0.00105063,0.0189128,56.2,validation,test,train,train,train,train,train,test
DFT0100,acetal1500_000100,Cc1ccc(C(CO)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.153,0.1474,0.0667,-0.272517,0.231669,0.00130701,0.01430979,42.58,test,train,test,test,train,validation,train,test
DFT0101,acetal1500_000101,CC(C)(C)COC(CO)(OCC(Cl)(Cl)Cl)c1ccc(O)cc1,ketal,0.1557,0.15,0.0647,-0.268595,0.217856,-0.00107178,0.01899083,45.66,train,test,train,train,train,train,validation,train
DFT0102,acetal1500_000102,CC(=O)OCC(C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,ketal,0.156,0.1507,0.1731,-0.290673,0.257993,0.00224769,0.01806602,53.4,test,train,train,validation,train,train,test,train
DFT0103,acetal1500_000103,CC(=O)OCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1538,0.149,0.127,-0.294164,0.263611,0.00207683,0.0146194,42.13,validation,validation,train,train,train,train,train,train
DFT0104,acetal1500_000104,COc1ccc(C(COC(C)=O)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1553,0.1502,0.0533,-0.279323,0.218014,0.00103336,0.01977945,52.42,test,train,train,train,train,validation,train,test
DFT0105,acetal1500_000105,CCOC(COC(C)=O)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2151,0.2098,0.1235,-0.294715,0.270317,0.00266083,0.01730351,53.73,train,train,train,validation,train,train,train,train
DFT0106,acetal1500_000106,CC(=O)OCC(OCC(C)(C)C)OCC(Cl)(Cl)Cl,acetal,0.1308,0.124,0.1883,-0.292205,0.270992,0.00143873,0.01837996,43.4,train,train,train,train,train,validation,train,train
DFT0107,acetal1500_000107,CC(=O)OCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(C)cc1,ketal,0.1541,0.1482,0.0587,-0.282407,0.234083,-0.00065961,0.01539635,50.33,train,train,train,train,train,train,validation,train
DFT0108,acetal1500_000108,CC(=O)OCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1552,0.1498,0.0562,-0.282559,0.244391,0.00208582,0.01827146,51.6,train,train,train,train,train,train,test,test
DFT0109,acetal1500_000109,CC(=O)OCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1552,0.1493,0.0607,-0.285056,0.241691,0.00127356,0.01753948,54.82,train,train,test,train,train,test,train,train
DFT0110,acetal1500_000110,COCC(C)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,ketal,0.153,0.1479,0.1075,-0.28281,0.251899,-0.00013739,0.01819367,55.29,train,train,test,validation,train,train,train,train
DFT0111,acetal1500_000111,COCC(OCC(C)(C)C)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1535,0.1484,0.0517,-0.285387,0.255731,-0.00037139,0.01645292,42.4,train,train,test,validation,train,validation,train,train
