Molecule_ID,Source_Molecule_ID,SMILES,Molecule_class,Cacetal-q(N),Cacetal-q(N+1),Cacetal-s-,E_HOMO(N-1),VIP,Overall_Average,Pos_Average,Polar_Area,Split_Cacetal_q_N,Split_Cacetal_q_Nplus1,Split_Cacetal_s_minus,Split_E_HOMO_Nminus1,Split_VIP,Split_Overall_Average,Split_Pos_Average,Split_Polar_Area
DFT0928,acetal1500_000928,CCCCCOC(C)OC(C)(C)C,acetal,0.1208,0.0716666666666666,0.1522666666666666,-0.292539333,0.2464636666666666,0.0007241733333333,0.01117703,28.66,train,train,validation,validation,train,train,train,test
DFT0929,acetal1500_000929,CC(OCC(C)(C)C)OC(C)(C)C,acetal,0.122,0.1006333333333333,0.1331666666666666,-0.296813667,0.2504093333333333,-5.53E-05,0.0104390633333333,25.47666666666667,train,validation,validation,train,train,train,train,validation
DFT0930,acetal1500_000930,CC(OCF)OC(C)(C)C,acetal,0.1258999999999999,0.0913333333333333,0.1202666666666666,-0.323972667,0.263613,0.00045588,0.01523158,47.34,train,train,train,train,test,train,train,train
DFT0931,acetal1500_000931,CC(OC(F)F)OC(C)(C)C,acetal,0.1361,0.0812,0.1125,-0.332327,0.272221,0.0020318233333333,0.02029975,60.376666666666665,test,test,train,train,train,test,test,train
DFT0932,acetal1500_000932,CC(OC(C)(C)C)OC(F)(F)F,acetal,0.138,0.1149,0.112,-0.352302,0.278383,0.0011638633333333,0.0148469833333333,46.873333333333335,train,train,test,train,test,test,test,train
DFT0933,acetal1500_000933,CC(OCCF)OC(C)(C)C,acetal,0.124,0.0934,0.1364999999999999,-0.30262,0.252389,0.0001828866666666,0.0160760166666666,45.97666666666667,train,test,train,train,train,train,test,train
DFT0934,acetal1500_000934,CC(OCC(F)F)OC(C)(C)C,acetal,0.1256666666666666,0.0653666666666666,0.1517,-0.301886333,0.2593769999999999,0.0012013833333333,0.0173258033333333,53.303333333333335,test,train,test,train,validation,train,test,validation
DFT0935,acetal1500_000935,CC(OCCl)OC(C)(C)C,acetal,0.1302,0.1169,0.1197333333333333,-0.308284,0.2699786666666666,0.0008487299999999,0.0170790733333333,52.303333333333335,train,validation,train,train,train,test,train,train
DFT0936,acetal1500_000936,CC(OC(Cl)Cl)OC(C)(C)C,acetal,0.143,0.1218333333333333,0.1358,-0.308952333,0.27731,0.0025204566666666,0.0234166066666666,65.10000000000001,train,train,test,train,train,validation,train,test
DFT0937,acetal1500_000937,CC(OCCCl)OC(C)(C)C,acetal,0.1242666666666666,0.1132666666666666,0.165,-0.299545,0.2553963333333333,0.00128457,0.0189944633333333,57.41,train,train,train,test,train,train,train,test
