Substituent_ID,Substituent_SMILES,Allowed_site,Source_type,Original_source_label,Background_count,High_value_count,Background_frequency,High_value_frequency,Enrichment_delta,Selected_as_enriched_flag,Mutation_parent_ID,Mutation_parent_SMILES
SUB-R2-012,*CCCCC,R4,enriched,base,3647,1597,0.0078345191448408,0.1273220122777645,0.1194874931329236,TRUE,NA,NA
SUB-R2-013,*CC(C)(C)C,R4,enriched,base,4083,1597,0.0087711383790472,0.1273220122777645,0.1185508738987172,TRUE,NA,NA
SUB-R2-014,*C(CC)CC,R4,enriched,base,4083,1399,0.0087711383790472,0.111536315076138,0.1027651766970908,TRUE,NA,NA
SUB-R2-015,*CCCC,R4,enriched,base,4878,1169,0.0104789647349969,0.0931993940843498,0.0827204293493529,TRUE,NA,NA
SUB-R2-016,*C(C)(C)C,R4,enriched,base,5368,1020,0.0115315872688526,0.0813202583114087,0.069788671042556,TRUE,NA,NA
SUB-R2-017,*CC(C)C,R4,enriched,base,5368,1007,0.0115315872688526,0.0802838236466555,0.0687522363778028,TRUE,NA,NA
SUB-R2-018,*CCC,R4,enriched,base,6135,641,0.0131792637657248,0.0511042015466794,0.0379249377809545,TRUE,NA,NA
SUB-R2-019,*C1CC1,R4,enriched,base,44268,1537,0.0950969272014848,0.122538467671211,0.0274415404697261,TRUE,NA,NA
SUB-R2-020,*CCCSC,R4,enriched,base,4549,447,0.0097722038908365,0.0356374073188232,0.0258652034279866,TRUE,NA,NA
SUB-R2-021,*CCCCCCCCCC,R4,enriched,base,264,264,0.0005671272427304,0.0210475962688352,0.0204804690261047,TRUE,NA,NA
SUB-R2-022,*C(C)C,R4,enriched,base,6586,338,0.0141481061387227,0.0269473012835844,0.0127991951448617,TRUE,NA,NA
SUB-R2-023,*CC,R4,enriched,base,8328,260,0.0178902866570426,0.0207286932950649,0.0028384066380222,TRUE,NA,NA
SUB-R3-001,*CCCCO,R1,mutated,new,NA,NA,NA,NA,0.0151413130376154,FALSE,SUB-R1-011,*CCCCCCO
SUB-R3-002,*CCOCC,R1,mutated,new,NA,NA,NA,NA,0.0263431894920779,FALSE,SUB-R1-004,*CCOCCN
SUB-R3-003,*C1CCCCC1,R1,mutated,new,NA,NA,NA,NA,0.0369139990357279,FALSE,SUB-R1-003,*C1CCCCC1C(=O)O
SUB-R3-004,*CCCO,R1,mutated,new,NA,NA,NA,NA,0.0151413130376154,FALSE,SUB-R1-011,*CCCCCCO
SUB-R3-005,*OCCC,R1,mutated,new,NA,NA,NA,NA,0.0105767105681101,FALSE,SUB-R1-013,*CCOC
SUB-R3-006,*CCCN,R1,mutated,new,NA,NA,NA,NA,0.0263431894920779,FALSE,SUB-R1-004,*CCOCCN
SUB-R3-007,*CCCCCC,R1,mutated,new,NA,NA,NA,NA,0.0151413130376154,FALSE,SUB-R1-011,*CCCCCCO
SUB-R3-008,*CCNC(C)=O,R1,mutated,new,NA,NA,NA,NA,0.0158911834730062,FALSE,SUB-R1-010,*CCNC(=O)OC
SUB-R3-009,*CCO,R1,mutated,new,NA,NA,NA,NA,0.0151413130376154,FALSE,SUB-R1-011,*CCCCCCO
SUB-R3-010,*CCBr,R1,mutated,new,NA,NA,NA,NA,0.0163630182907034,FALSE,SUB-R1-009,*CCC
SUB-R3-011,*C(F)(F)F,R1,mutated,new,NA,NA,NA,NA,0.0165335422266191,FALSE,SUB-R1-008,*C(C)(C)C
SUB-R3-012,*OC(=O)CC,R1,mutated,new,NA,NA,NA,NA,0.0158911834730062,FALSE,SUB-R1-010,*CCNC(=O)OC
SUB-R3-013,*CC(=O)OC,R1,mutated,new,NA,NA,NA,NA,0.0158911834730062,FALSE,SUB-R1-010,*CCNC(=O)OC
SUB-R3-014,*CN,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-015,*CO,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-016,*CF,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-017,*CNC,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-018,*NCC,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-019,*SCC,R2,mutated,new,NA,NA,NA,NA,0.0687153268442267,FALSE,SUB-R1-021,*CC
SUB-R3-020,*CCBr,R2,mutated,new,NA,NA,NA,NA,0.0466060979967003,FALSE,SUB-R1-022,*CCC
SUB-R3-021,*CCN,R2,mutated,new,NA,NA,NA,NA,0.0466060979967003,FALSE,SUB-R1-022,*CCC
SUB-R3-022,*CCCCCC,R2,mutated,new,NA,NA,NA,NA,0.0466060979967003,FALSE,SUB-R1-022,*CCC
SUB-R3-023,*CCO,R2,mutated,new,NA,NA,NA,NA,0.0466060979967003,FALSE,SUB-R1-022,*CCC
SUB-R3-024,*OCCC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R3-025,*OCOC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R3-026,*CON,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-001,*CC(C)COC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-002,*CCOCC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-003,*OCCO,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-004,*C(C)COC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-005,*COC(C)=O,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-006,*CC(=O)OC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-007,*OC(=O)CC,R3,mutated,new,NA,NA,NA,NA,0.0782871903123866,FALSE,SUB-R2-004,*OCC
SUB-R4-008,*c1ccncc1,R3,mutated,new,NA,NA,NA,NA,0.0421289391015837,FALSE,SUB-R2-005,*c1ccc(C)cc1
SUB-R4-009,*c1ccoc1,R3,mutated,new,NA,NA,NA,NA,0.0421289391015837,FALSE,SUB-R2-005,*c1ccc(C)cc1
SUB-R4-010,*c1ccsc1,R3,mutated,new,NA,NA,NA,NA,0.0421289391015837,FALSE,SUB-R2-005,*c1ccc(C)cc1
SUB-R4-011,*OC(C)C,R3,mutated,new,NA,NA,NA,NA,0.0396212251549863,FALSE,SUB-R2-006,*OC
SUB-R4-012,*c1ccccn1,R3,mutated,new,NA,NA,NA,NA,0.0120452523089596,FALSE,SUB-R2-008,*c1ccccc1
SUB-R4-013,*CCCCO,R4,mutated,new,NA,NA,NA,NA,0.1194874931329236,FALSE,SUB-R2-012,*CCCCC
SUB-R4-014,*CCCO,R4,mutated,new,NA,NA,NA,NA,0.1194874931329236,FALSE,SUB-R2-012,*CCCCC
SUB-R4-015,*CCCN,R4,mutated,new,NA,NA,NA,NA,0.1194874931329236,FALSE,SUB-R2-012,*CCCCC
SUB-R4-016,*CCCBr,R4,mutated,new,NA,NA,NA,NA,0.1194874931329236,FALSE,SUB-R2-012,*CCCCC
SUB-R4-017,*CCCCl,R4,mutated,new,NA,NA,NA,NA,0.1194874931329236,FALSE,SUB-R2-012,*CCCCC
SUB-R4-018,*CC(C)CF,R4,mutated,new,NA,NA,NA,NA,0.1027651766970908,FALSE,SUB-R2-014,*C(CC)CC
SUB-R4-019,*CC(C)CO,R4,mutated,new,NA,NA,NA,NA,0.1027651766970908,FALSE,SUB-R2-014,*C(CC)CC
SUB-R4-020,*CC(C)CN,R4,mutated,new,NA,NA,NA,NA,0.1027651766970908,FALSE,SUB-R2-014,*C(CC)CC
SUB-R4-021,*CC(C)CCl,R4,mutated,new,NA,NA,NA,NA,0.1027651766970908,FALSE,SUB-R2-014,*C(CC)CC
SUB-R4-022,*CC(C)COC,R4,mutated,new,NA,NA,NA,NA,0.1027651766970908,FALSE,SUB-R2-014,*C(CC)CC
SUB-R4-023,*C(F)(F)F,R4,mutated,new,NA,NA,NA,NA,0.069788671042556,FALSE,SUB-R2-016,*C(C)(C)C
SUB-R4-024,*C(C)CO,R4,mutated,new,NA,NA,NA,NA,0.0687522363778028,FALSE,SUB-R2-017,*CC(C)C
SUB-R4-025,*C(C)COC,R4,mutated,new,NA,NA,NA,NA,0.0687522363778028,FALSE,SUB-R2-017,*CC(C)C
SUB-R4-026,*CCCCCC,R4,mutated,new,NA,NA,NA,NA,0.0204804690261047,FALSE,SUB-R2-021,*CCCCCCCCCC
SUB-R4-027,*CCBr,R4,mutated,new,NA,NA,NA,NA,0.0379249377809545,FALSE,SUB-R2-018,*CCC
SUB-R4-028,*CCO,R4,mutated,new,NA,NA,NA,NA,0.0379249377809545,FALSE,SUB-R2-018,*CCC
SUB-R4-029,*CCN,R4,mutated,new,NA,NA,NA,NA,0.0379249377809545,FALSE,SUB-R2-018,*CCC
SUB-R4-030,*C1CCCCC1,R4,mutated,new,NA,NA,NA,NA,0.0274415404697261,FALSE,SUB-R2-019,*C1CC1
SUB-R4-031,*OCCC,R4,mutated,new,NA,NA,NA,NA,0.0379249377809545,FALSE,SUB-R2-018,*CCC
SUB-R4-032,*C1CCOCC1,R4,mutated,new,NA,NA,NA,NA,0.0274415404697261,FALSE,SUB-R2-019,*C1CC1
SUB-R4-033,*C1CCNCC1,R4,mutated,new,NA,NA,NA,NA,0.0274415404697261,FALSE,SUB-R2-019,*C1CC1
SUB-R4-034,*CCOCC,R4,mutated,new,NA,NA,NA,NA,0.0379249377809545,FALSE,SUB-R2-018,*CCC
