Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,Relative_to_current_limit,Beyond_limit_flag,SA_score,logP,Search_run
TS0089,89,CCCCCCCCCCC(OC)(OCCN)OC(C)C,orthoester,*CCN,*C(C)C,*OC,*CCCCCCCCCC,6.343781471252441,0.4652629792690277,0.24378147125244176,TRUE,3.255724940688397,4.217700000000002,run_02
TS0090,90,CCCCCCCCCCC(OC)(OCC)OC(=O)CC,orthoester,*C(=O)CC,*CC,*OC,*CCCCCCCCCC,6.343219757080078,0.5562461614608765,0.24321975708007848,TRUE,3.10687639957434,4.807100000000005,run_01
TS0091,91,CCCCCCCCCCC(OCCO)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.338127136230469,0.8993167877197266,0.2381271362304691,TRUE,3.4549261379169813,4.598400000000003,run_01
TS0092,92,CCCCCCCCCCC(OCN)(OCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.3353657722473145,0.9207189083099364,0.2353657722473148,TRUE,3.3974804003608448,4.3377000000000026,run_01
TS0093,93,CCCCCCC(OCC)(OCN)c1ccc(N(C)C)cc1,ketal,*CN,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.333967685699463,0.5083973407745361,0.23396768569946325,TRUE,3.2007119262145647,3.845100000000002,run_01
TS0094,94,CCCCCCC(OCC)(ONCC)c1ccc(N(C)C)cc1,ketal,*NCC,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.333682060241699,0.5129083395004272,0.23368206024169957,TRUE,3.2634853919701143,4.453400000000004,run_01
TS0095,95,CCCCCCC(OCCC)(OCNC)c1ccc(N(C)C)cc1,ketal,*CNC,*CCC,*c1ccc(N(C)C)cc1,*CCCCCC,6.332957744598389,0.5151628851890564,0.23295774459838903,TRUE,3.29739810223429,4.495900000000003,run_01
TS0096,96,CCOC(OC(C)C)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C(C)C,*CC,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.330740928649902,0.4146345555782318,0.2307409286499027,TRUE,3.226780103508576,4.947200000000005,run_01
TS0097,97,CCCCCCCCCCC(OC)(OC)OC(=O)CC,orthoester,*C(=O)CC,*C,*OC,*CCCCCCCCCC,6.328012943267822,0.5377092957496643,0.22801294326782262,TRUE,2.654685026160669,4.417000000000003,run_03
TS0098,98,CCCCCCCCCCC(OC)(OC)OCO,orthoester,*CO,*C,*OC,*CCCCCCCCCC,6.324872016906738,0.4480673372745514,0.22487201690673864,TRUE,2.839251733684224,3.4302000000000024,run_01
TS0099,99,CCCCCCCCCCC(OCO)(OCCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.322604179382324,0.950693428516388,0.22260417938232457,TRUE,3.4077171193493427,4.727800000000004,run_01
TS0100,100,COC(OC(C)C)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.314818382263184,0.417498230934143,0.21481838226318395,TRUE,3.178712430628183,4.557100000000005,run_01
TS0101,101,COC(OC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.30745792388916,0.3392141461372375,0.2074579238891605,TRUE,2.661825685501327,3.778500000000003,run_01
TS0102,102,CCCCCCCCCCC(OCCC)(OCCCN)OC(=O)CC,orthoester,*CCCN,*C(=O)CC,*OCCC,*CCCCCCCCCC,6.305870532989502,0.6594702005386353,0.2058705329895023,TRUE,3.2745272741289684,4.916200000000004,run_02
TS0103,103,COC(OC(C)(C)C)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*C(C)(C)C,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.302817344665527,0.4549450576305389,0.2028173446655277,TRUE,3.193396690047039,4.947200000000005,run_01
TS0104,104,CCCCCCC(OCC)(OCNC)c1ccc(N(C)C)cc1,ketal,*CNC,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.301201343536377,0.5058138370513916,0.2012013435363773,TRUE,3.2636108727393456,4.105800000000003,run_03
TS0105,105,CCCCCCCCCCC(OC)(OC)OCOC,orthoester,*COC,*C,*OC,*CCCCCCCCCC,6.301154136657715,0.432704210281372,0.2011541366577152,TRUE,2.7360933557161005,4.084300000000003,run_02
TS0106,106,CCCCCCCCCCC(OC)(OC)OCF,orthoester,*CF,*C,*OC,*CCCCCCCCCC,6.2996039390563965,0.4867779612541199,0.19960393905639684,TRUE,2.841788349068837,4.407400000000004,run_01
TS0107,107,CCCCCCCCCCC(OCCN)(OCCNC(=O)OC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)OC,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.296764850616455,0.8850234746932983,0.19676485061645543,TRUE,3.413961403724384,4.743900000000004,run_01
TS0108,108,CCCCCCC(OC)(OCN)c1ccc(N(C)C)cc1,ketal,*CN,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.2922773361206055,0.4796073138713836,0.19227733612060582,TRUE,3.1649419168157182,3.455000000000002,run_03
TS0109,109,CCCCCCCCCCC(OC)(OCCCO)OC(C)C,orthoester,*CCCO,*C(C)C,*OC,*CCCCCCCCCC,6.288281440734863,0.5193310976028442,0.18828144073486364,TRUE,3.193257701750504,4.641400000000004,run_01
TS0110,110,CCCCCCCCCCC(OCCN)(OCCNC(C)=O)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(C)=O,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.288099765777588,0.9155115485191344,0.18809976577758825,TRUE,3.378896309091364,4.524000000000004,run_01
