Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
TS0038,44,CCCCCCCCCCC(OC)(ONCC)OC(C)C,orthoester,*NCC,*C(C)C,*OC,*CCCCCCCCCC,6.502006530761719,0.4289503395557403,3.4096034552772574,4.783500000000004,Targeted_search
TS0039,45,CCCCCCCCCCC(OCCN)(OCCOCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCN,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.4932146072387695,1.0334042310714722,3.455032240265453,4.363200000000003,Targeted_search
TS0040,46,CCCCCCCCCCC(OC)(OCCC)OCNC,orthoester,*CNC,*CCC,*OC,*CCCCCCCCCC,6.492045402526856,0.5209877490997314,3.367853862146834,4.437500000000004,Targeted_search
TS0041,47,CCCCCCCCCCC(OC)(OCC)OCN,orthoester,*CN,*CC,*OC,*CCCCCCCCCC,6.48593282699585,0.4793978631496429,3.2974840899155744,3.7867000000000015,Targeted_search
TS0042,48,CCCCCCCCCCC(OCN)(OCCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.484341621398926,0.977953851222992,3.419685289110616,4.694200000000004,Targeted_search
TS0043,49,CCCCCCCCCCC(OCCCN)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.473645210266113,0.9665440917015076,3.4767648133152944,4.954900000000004,Targeted_search
TS0044,50,CCCCCCCCCCC(OC)(OCC)OCCCCO,orthoester,*CCCCO,*CC,*OC,*CCCCCCCCCC,6.469257354736328,0.7318966388702393,3.111116254408845,4.643000000000005,Targeted_search
TS0045,51,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCNC(=O)C=C,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.462785243988037,0.9559229016304016,3.57877663665593,4.706700000000002,Targeted_search
TS0046,52,CCCCCCCCCCC(OC)(OCC)OCCCN,orthoester,*CCCN,*CC,*OC,*CCCCCCCCCC,6.459267616271973,0.6766405701637268,3.161337304128581,4.219300000000002,Targeted_search
TS0047,53,CCCCCCCCCCC(OC)(OCCC)OCCCN,orthoester,*CCCN,*CCC,*OC,*CCCCCCCCCC,6.452615261077881,0.6252492666244507,3.186401366071377,4.609400000000004,Targeted_search
