Candidate_ID,Source_Molecule_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,SA_score,logP,Predicted_log_kH,Prediction_uncertainty,High_value_flag,Beyond_limit_flag
HTS009127,virt_molwt_v1_full_0094854,9127,COc1ccc(C(CC(C)C)(OCCCl)OCCOCCN)cc1,ketal,C(COCCN)*,C(CCl)*,COc1ccc(*)cc1,C(C(C)C)*,3.3161503410402613,3.141400000000001,4.10866456,0.4709587390167618,TRUE,FALSE
HTS009128,virt_molwt_v1_full_0137952,9128,C=CC(=O)NCCOC(Oc1ccccc1)(c1c(OC)cc(OC)cc1OC)C1CC1,ketal,C(CNC(=O)C=C)*,c1(*)ccccc1,COc1cc(OC)c(*)c(OC)c1,C1(*)CC1,3.3295675172273267,3.673000000000002,4.108656079999999,0.2727041005911087,TRUE,FALSE
HTS009129,virt_molwt_v1_full_0335126,9129,C=C(C)C(=O)OCCOC(C)(Oc1ccc(Cl)cc1)c1ccc(N(C)C)cc1,ketal,C=C(C)C(=O)OCC*,c1(*)ccc(Cl)cc1,c1(*)ccc(N(C)C)cc1,C*,3.092425300896706,4.793600000000004,4.10865238,0.2519711675300362,TRUE,FALSE
HTS009130,virt_molwt_v1_full_1327289,9130,CCOC(Oc1c(C(=O)O)cccc1C(=O)O)(c1ccc(O)cc1)c1ccc(N(C)C)cc1,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,CC*,c1(*)ccc(N(C)C)cc1,c1(*)ccc(O)cc1,3.150323152665745,4.171200000000003,4.10860356,0.6130654894437577,TRUE,FALSE
HTS009131,virt_molwt_v1_full_0014033,9131,CCCC(OCC)(OCC(C)(C)C)c1ccc(O)cc1,ketal,C(C(C)(C)C)*,C(C)*,c1(*)ccc(O)cc1,CCC*,3.255359891951822,4.4443000000000055,4.10856946,0.380590188042869,TRUE,FALSE
HTS009132,virt_molwt_v1_full_0526995,9132,CCC(CC)C(OC)(OCCCNC(=O)C(F)(F)F)Oc1cccc(C)c1,orthoester,C(CCNC(=O)C(F)(F)F)*,c1(*)cccc(C)c1,CO*,C(CC)(CC)*,3.418996788289519,4.195420000000003,4.10853662,0.5808699483856412,TRUE,FALSE
HTS009133,virt_molwt_v1_full_0128946,9133,COc1ccc(C(OCCCNC(=O)C(F)(F)F)(OC(C)(C)C)C(C)(C)C)cc1,ketal,C(CCNC(=O)C(F)(F)F)*,C(C)(C)(C)*,COc1ccc(*)cc1,C(C)(C)(C)*,3.330559287987142,4.794400000000004,4.10852876,0.4283121372837739,TRUE,FALSE
HTS009134,virt_molwt_v1_full_0012771,9134,CCCOC(CCCSC)(OC)OCC,orthoester,CCC*,C(C)*,CO*,C(CCSC)*,3.57266358184335,2.892900000000002,4.10852694,0.3960233445177776,TRUE,FALSE
HTS009135,virt_molwt_v1_full_0262591,9135,Cc1ccc(C(OCCF)(OC2CCCCC2C(=O)O)c2ccc(N(C)C)cc2)cc1,ketal,C1(*)CCCCC1C(=O)O,FCC*,c1(*)ccc(N(C)C)cc1,c1(*)ccc(C)cc1,3.761607458173211,4.9082200000000045,4.10852614,0.6806237792702622,TRUE,FALSE
HTS009136,virt_molwt_v1_full_0870936,9136,CCOCC(OCCCCCCNC(=O)C(F)(F)F)(Oc1ccc(C)cc1)C1CC1,ketal,C(CCCCCNC(=O)C(F)(F)F)*,c1(*)ccc(C)cc1,CCOC*,C1(*)CC1,3.309737808013434,4.772120000000004,4.10850924,0.3660462335946245,TRUE,FALSE
HTS009137,virt_molwt_v1_full_0015920,9137,C=CC(=O)NCCOCCOC(CCCC)(OCC)c1ccccc1,ketal,C=CC(=O)NCCOCC*,C(C)*,c1(*)ccccc1,CCCC*,3.184643364517454,3.4015000000000013,4.10847358,0.4425248240571523,TRUE,FALSE
HTS009138,virt_molwt_v1_full_0049637,9138,CCC(CC)C(OC)(OCCCNC(=O)C(F)(F)F)c1ccc(O)cc1,ketal,C(CCNC(=O)C(F)(F)F)*,C*,c1(*)ccc(O)cc1,C(CC)(CC)*,3.409548164778624,3.7128000000000014,4.108429500000001,0.5318489178332997,TRUE,FALSE
HTS009139,virt_molwt_v1_full_0569223,9139,CCCCCC(OC)(OCCOC)OC1CCCCC1C(=O)OCC,orthoester,CCOC(=O)C1CCCCC1*,COCC*,CO*,CCCCC*,3.790832542850525,3.6684000000000014,4.1084251,0.5183484528591747,TRUE,FALSE
HTS009140,virt_molwt_v1_full_0504654,9140,CCCC(OC)(Oc1cccc(C)c1)c1ccc(OC)cc1,ketal,c1(*)cccc(C)c1,C*,COc1ccc(*)cc1,CCC*,2.7078671228951965,4.681920000000004,4.108418219999999,0.3833755574534163,TRUE,FALSE
HTS009141,virt_molwt_v1_full_1448976,9141,C=C(C)C(=O)OCCOC(Oc1c(C(=O)O)cccc1[N+](=O)[O-])(c1ccc(N(C)C)cc1)C1CC1,ketal,c1(*)c(C(=O)O)cccc1[N+](=O)[O-],C=C(C)C(=O)OCC*,c1(*)ccc(N(C)C)cc1,C1(*)CC1,3.520125635732977,4.136700000000004,4.10838496,0.5561756128285908,TRUE,FALSE
HTS009142,virt_molwt_v1_full_1442691,9142,COC(CC(C)C)(Oc1ccccc1)Oc1c(C(=O)O)cccc1[N+](=O)[O-],orthoester,c1(*)c(C(=O)O)cccc1[N+](=O)[O-],c1(*)ccccc1,CO*,C(C(C)C)*,3.1187976398259885,4.097100000000003,4.10837192,0.5126108904843727,TRUE,FALSE
HTS009143,virt_molwt_v1_full_0176006,9143,C=C(C)C(=O)OCCOC(C)(OC1CCCCC1C(=O)OC)c1ccc(N(C)C)cc1,ketal,COC(=O)C1CCCCC1*,C=C(C)C(=O)OCC*,c1(*)ccc(N(C)C)cc1,C*,3.897969211956952,3.809600000000003,4.1083668200000005,0.2592100301774867,TRUE,FALSE
HTS009144,virt_molwt_v1_full_0984834,9144,C=CCC(=O)OCCOC(CC(C)C)(OC(C)(C)C)c1ccc(OC)cc1,ketal,C=CCC(=O)OCC*,CC(C)(C)*,COc1ccc(*)cc1,C(C(C)C)*,3.3811892013559035,4.845100000000005,4.10834136,0.4335383746908898,TRUE,FALSE
HTS009145,virt_molwt_v1_full_0527006,9145,Cc1cccc(OC(C)(OCCCNC(=O)C(F)(F)F)c2ccc(N(C)C)cc2)c1,ketal,C(CCNC(=O)C(F)(F)F)*,c1(*)cccc(C)c1,c1(*)ccc(N(C)C)cc1,C*,3.156833201218525,4.397920000000004,4.10826866,0.5273296954291447,TRUE,FALSE
HTS009146,virt_molwt_v1_full_0098884,9146,CCCCCC(OCC)(OCCCl)OC1CCCCC1C(=O)O,orthoester,C1(*)CCCCC1C(=O)O,C(CCl)*,CCO*,CCCCC*,3.956202405197166,4.172400000000003,4.10825696,0.5883867398472626,TRUE,FALSE
HTS009147,virt_molwt_v1_full_0703878,9147,CCCCC(OCCCCCCO)(OCCNC(=O)OC)c1ccc(OC)cc1,ketal,C(CNC(=O)OC)*,OCCCCCC*,COc1ccc(*)cc1,CCCC*,3.1087856284630977,3.980100000000003,4.10825192,0.31246924212106,TRUE,FALSE
HTS009148,virt_molwt_v1_full_1305414,9148,COC(=O)c1cccc(C(=O)OC)c1OC(CC(C)C)(OC(C)C)c1ccc(OC)cc1,ketal,c1(*)c(C(=O)OC)cccc1C(=O)OC,CC(C)*,COc1ccc(*)cc1,C(C(C)C)*,3.161911497665429,4.971300000000005,4.108228479999999,0.3182382563473561,TRUE,FALSE
HTS009149,virt_molwt_v1_full_1392615,9149,CCCCC(OC)(OCC(C)(C)C)Oc1c(C)cccc1C(=O)O,orthoester,c1(*)c(C)cccc1C(=O)O,C(C(C)(C)C)*,CO*,CCCC*,3.339228663370916,4.625120000000004,4.10812264,0.5578323432546289,TRUE,FALSE
HTS009150,virt_molwt_v1_full_1274412,9150,CCOC(Oc1ccc(C(=O)O)cc1)(c1c(OC)cc(OC)cc1OC)C1CC1,ketal,c1(*)ccc(C(=O)O)cc1,CC*,COc1cc(OC)c(*)c(OC)c1,C1(*)CC1,3.1505964539790448,4.088900000000003,4.10809508,0.4140154509546782,TRUE,FALSE
HTS009151,virt_molwt_v1_full_0045561,9151,CCCCC(OC)(OC1CCCCC1C(=O)O)c1ccc(F)cc1,ketal,C1(*)CCCCC1C(=O)O,C*,c1(*)ccc(F)cc1,CCCC*,3.5564577747609976,4.475100000000004,4.108054619999999,0.5831322393947274,TRUE,FALSE
HTS009152,virt_molwt_v1_full_1339682,9152,CC=CC(C)(OCC(C)(C)C)Oc1c(C(=O)O)cccc1C(=O)O,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,C(C(C)(C)C)*,CC=C*,C*,3.501885325458828,3.8168000000000015,4.108048040000001,0.4624055258866469,TRUE,FALSE
